Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
3892,Elegí (feat. Dímelo Flow),Elegí (feat. Dímelo Flow),Rauw Alejandro,3/26/2020,USSD12000059,"3,860",21.7,"439,049,524","57,496","13,084,955",63.0,"378,728,492","2,017,344","6,706","284,201","1,774,594","11,533,560",44.0,"7,313",13,13.0,"248,530",10.0,"50,594,664","6,048",,"568,549",,0
3902,Munch (Feelin' U),Munch (Feelin' U),Ice Spice,8/10/2022,CA5KR2269973,"3,855",21.7,"133,459,011","35,905","9,102,015",60.0,"62,093,393","780,391","477,380","225,519,563","1,961,457,700","113,265,777",36.0,218,"1,691",6.0,"123,087",13.0,"4,719,609","11,176",,"689,568",,1
3911,Hoa Cỏ Lau,Hoa Cỏ Lau,Phong Max,4/25/2023,VNA1M2204855,"3,912",21.6,"4,168,391",962,"77,885",41.0,"76,086,431","395,306","892,577","17,271,410","439,939,868",,,,,,,,,,,"14,755",,0
3948,Love Me Like This,expérgo,NMIXX,3/21/2023,US5TA2200195,"3,937",21.5,"96,439,278","9,999","5,451,670",64.0,"153,565,263","1,299,976","34,860","36,819,235","208,385,821","51,855,304",6.0,789,11,2.0,192,,"315,735",388,,"178,962",,0
3951,BODYGUARD,COWBOY CARTER,Beyoncé,3/29/2024,USSM12402709,"3,956",21.5,"56,412,921","4,391","32,285,153",,"5,216,744","84,090",,,,"281,032",31.0,"2,062",,33.0,"1,259,894",30.0,"875,660",755,,"96,344",,1
3967,¿Qué Nos Pasó?,¿Qué Nos Pasó?,Anuel AA,5/26/2022,QM6MZ2220000,"3,926",21.5,"161,990,851","31,668","4,718,236",68.0,"187,450,025","1,297,403","9,929","2,748,358","28,786,547","341,414,931",5.0,576,,1.0,"31,377",,"1,465,671",515,,"412,492",,1
3968,I Won't Give Up,Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,1/1/2012,USEE11100768,"3,925",21.5,"850,863,163","91,617","43,046,356",62.0,"21,096,118","126,444","59,874","7,909,056","77,268,402","10,950",70.0,147,27,29.0,"76,256",10.0,"983,589,132","665,589",,"7,898,160",,0
3970,Tapão Na Raba,Som No Talo,Raí Saia Rodada,1/22/2021,BRS4R2000060,"3,933",21.5,"196,159,389","21,913","6,808,067",53.0,"452,999,889","2,998,357","226,305","21,523,496","349,411,180","246,973,235",23.0,"1,944",,49.0,"201,574",5.0,,,,"360,078",,0
3986,Percherón,La Granja de Zenón Vol. 3,El Reino Infantil,11/17/2016,ARF061501325,"3,988",21.4,"17,238,604","1,581","439,901",49.0,"1,267,939,965","2,741,076","4,008","289,571","14,803,398",,1.0,5,,,,,,,,"23,734",,0
4001,残響散歌,残響散歌,Aimer,12/6/2021,JPU902104729,"3,975",21.4,"227,696,852","34,276","6,961,653",63.0,"250,190,214","1,270,608",,,,"86,777,760",35.0,"1,922",,5.0,"8,662",3.0,"662,602",324,,"403,076",,0
